chr1	9277413	13052998
chr1	13102998	13219912
chr1	13320000	13557162
chr1	13607162	17125658
chr1	17175658	29878082
chr1	30028082	34627413
chr1	46727413	51527412
chr1	102227412	103863906
chr1	103913906	104071250
chr1	104092315	107198477
chr1	117798477	120697156
chr1	120747156	120898477
chr1	155033376	156533376
chr1	165533376	172933377
chr1	176033377	185733377
chr2	7082549	16253949
chr2	16357926	17136519
chr2	19236519	21149090
chr2	21184090	24046496
chr2	47746496	52846496
chr2	54946496	61246496
chr2	75546492	83846489
chr2	102733568	109233568
chr2	114083530	118883530
chr2	129883530	135083530
chr2	136883530	144983530
chr2	189391755	197391755
chr2	209391755	215391755
chr2	221591756	234003741
chr2	234067938	237335261
chr3	8725000	11525000
chr3	14724996	23824996
chr3	26424996	32124996
chr3	54424960	58524960
chr3	63724960	66140790
chr3	66293142	71717310
chr3	74117310	87117310
chr3	98317310	100017310
chr3	102917310	113517310
chr3	142917310	148917310
chr4	10000	1423146
chr4	1494818	3913620
chr4	3913620	5149099
chr4	41205243	45905243
chr4	59505243	59734569
chr4	59800000	69590554
chr4	71500000	75422440
chr4	75452279	76280976
chr4	102280977	120380552
chr4	123780550	150780550
chr5	8147000	18464243
chr5	42364243	45764243
chr5	97274244	97564130
chr5	97584975	102772101
chr5	135372101	138784358
chr5	138837073	147219807
chr6	60000	4155001
chr6	7055001	9164260
chr6	9164260	13392021
chr6	15392021	23392021
chr6	25992021	40492022
chr6	45092022	57092041
chr6	63442041	69943279
chr6	75843280	87443281
chr6	92043279	95680543
chr6	95830543	99793279
chr6	139058307	149058307
chr6	164480010	167846968
chr6	168042073	170279972
chr6	170330000	171055067
chr7	7233475	13333475
chr7	19533475	35633475
chr7	37533475	43333475
chr7	46633475	48201424
chr7	48237394	50367581
chr7	50410631	53932506
chr7	61096058	61310513
chr7	61727020	61917157
chr7	61967157	72162064
chr7	77562064	91062064
chr7	92762064	104612764
chr7	117412764	130449460
chr7	132749460	137649460
chr7	143089878	147869067
chr8	6212592	7474649
chr8	7524649	12061935
chr8	12154989	19055720
chr8	29644081	29676741
chr8	29679226	38380843
chr8	55437447	65937446
chr8	73837446	85906406
chr8	86006089	86576451
chr8	86760000	87130884
chr8	99030824	101530824
chr8	106030824	117630819
chr8	127230818	139930818
chr9	9010000	14110000
chr9	40210000	40233029
chr9	40283029	40425834
chr9	40475834	40940341
chr9	40990341	41143214
chr9	41193214	41365793
chr9	41415793	42613955
chr9	42663955	43213698
chr9	43313698	43946569
chr9	43996569	44676646
chr9	44726646	44908293
chr9	44958293	45250203
chr9	45350203	45815521
chr9	45865521	46216430
chr9	46266430	46461039
chr9	46561039	46860004
chr9	91810180	92343416
chr9	92443416	92528796
chr9	92678796	102560179
chr10	6659994	12259994
chr10	74929994	81561360
chr10	81561360	89610020
chr10	98010010	99410010
chr10	102010010	111810010
chr10	114910010	119110010
chr10	127410010	128616069
chr10	128766069	133381404
chr10	133431404	133677527
chr10	133727527	135524747
chr11	60000	1162759
chr11	1212759	10743424
chr11	12643424	16143424
chr11	21643424	26043424
chr11	27243424	31043424
chr11	56643424	69089801
chr11	69139801	69490819
chr11	71022352	85622352
chr11	88260352	92660352
chr11	97194790	102094790
chr11	110494790	115894790
chr11	121194790	134946516
chr12	5429739	7189038
chr12	7241152	14908733
chr12	38213733	46313733
chr12	54813733	58013733
chr12	71513733	76505677
chr12	76517805	80175869
chr12	92675869	96275869
chr12	101475869	108975871
chr13	19502000	34002000
chr13	35802000	40602000
chr13	53301999	58701999
chr13	61601999	73201999
chr13	99301999	110301999
chr14	24530160	32730249
chr14	37830249	41930250
chr14	44130250	49230250
chr14	70230247	73830247
chr14	79330247	107289540
chr15	25748907	27136492
chr15	27148846	27586853
chr15	27597018	28026405
chr15	33612708	40112708
chr15	67512946	72612946
chr15	98498996	98544663
chr15	98550216	102521392
chr16	60000	8636921
chr16	8686921	14792499
chr16	16792499	21792499
chr16	70842499	79642499
chr16	81942499	84142499
chr17	0	296626
chr17	396626	11259275
chr17	31775887	34675848
chr17	34725848	36297053
chr17	36325656	38146474
chr17	50245001	57545218
chr17	58245218	62469538
chr18	7210000	15410000
chr18	25046002	32746002
chr18	37246002	52059136
chr18	52209136	53849002
chr19	60000	7346004
chr19	7396004	8687198
chr19	8737198	12739000
chr20	5052000	9052000
chr20	11952000	17852000
chr20	21252000	25752000
chr20	37666586	41666586
chr20	49766593	54966593
chr21	39678130	42955559
chr21	43005559	44632664
chr21	44682664	48119895
chr22	17920000	20509431
chr22	20609431	29570000
chr22	32170000	40970054
chr22	44268667	44726625
chr22	44729294	48977021
chr22	48977021	50364432
chr22	50425007	50745449
chr22	50746604	50764531
chr22	50780000	51244566
chrX	60000	94821
chrX	144821	231384
chrX	281384	1047557
chrX	1097557	1134113
chrX	1184113	1264234
chrX	1314234	2068238
chrX	2118238	5990000
chrX	9540000	37098256
chrX	37148256	47415056
chrX	65083275	67783275
chrX	76083617	76653692
chrX	76703692	98313344
chrX	102613344	113517668
chrX	113567668	115682290
chrX	115732290	120872319
chrX	137972334	140272334
chrX	142072334	143507324
chrX	143557324	147092308
